base_sigma,Gini_mean,Gini_std,k,P_k_mean,P_k_std,P_k_sem,n_sims
0.05,0.735762962962963,0.009364889864296375,0,0.00442478202582532,0.001973675447679502,0.0008826544933067389,5
0.05,0.735762962962963,0.009364889864296375,1,0.013461012866641498,0.0011301495062971067,0.0005054182241636316,5
0.05,0.735762962962963,0.009364889864296375,2,0.01627733677646302,0.00457376643669,0.0020454505331291657,5
0.05,0.735762962962963,0.009364889864296375,3,0.02068416008101982,0.004510173790573171,0.002017011037211902,5
0.05,0.735762962962963,0.009364889864296375,4,0.018675488824304733,0.005841083986051309,0.0026122121710192314,5
0.05,0.735762962962963,0.009364889864296375,5,0.014868240524888998,0.0037841965739694138,0.0016923441559234837,5
0.05,0.735762962962963,0.009364889864296375,6,0.010451566773103022,0.0032329848279139717,0.00144583476908822,5
0.05,0.735762962962963,0.009364889864296375,7,0.0044168917311484136,0.0029819657934661813,0.0013335756441538958,5
0.05,0.735762962962963,0.009364889864296375,8,0.004009851733792827,0.0032394958068928162,0.0014487465674075737,5
0.05,0.735762962962963,0.009364889864296375,9,0.005025765164708853,0.002751119625781244,0.0012303380994961287,5
0.05,0.735762962962963,0.009364889864296375,10,0.0036088418285262678,0.0028825036067703434,0.001289094802025362,5
0.05,0.735762962962963,0.009364889864296375,11,0.0022094667347067063,0.0014889698854393366,0.0006658875760584862,5
0.05,0.735762962962963,0.009364889864296375,12,0.0020084568294401473,0.0012296928215506675,0.0005499353480861621,5
0.05,0.735762962962963,0.009364889864296375,13,0.003819733786056175,0.0020643441365314377,0.0009232027636474802,5
0.05,0.735762962962963,0.009364889864296375,14,0.0042247771871741745,0.002793137789988947,0.001249129193787763,5
0.05,0.735762962962963,0.009364889864296375,15,0.0030126876634857932,0.0012272670697071712,0.0005488505188824415,5
0.05,0.735762962962963,0.009364889864296375,16,0.004211054138602446,0.004152105060837582,0.0018568778331507466,5
0.05,0.735762962962963,0.009364889864296375,17,0.004015504238574179,0.0037503399255305364,0.0016772030024435555,5
0.05,0.735762962962963,0.009364889864296375,18,0.0032141093342214987,0.0026036882388619825,0.0011644047788624207,5
0.05,0.735762962962963,0.009364889864296375,19,0.0068219351322664126,0.0035536623867356903,0.0015892461331650299,5
0.05,0.735762962962963,0.009364889864296375,20,0.007230792763309767,0.003571298447346911,0.0015971332192414292,5
0.05,0.735762962962963,0.009364889864296375,21,0.007232618787736174,0.0013059065672640434,0.0005840191713331605,5
0.05,0.735762962962963,0.009364889864296375,22,0.010842476646743796,0.0038206948126261664,0.001708666664462586,5
0.05,0.735762962962963,0.009364889864296375,23,0.00984472540050529,0.0037234696191097297,0.001665186236096921,5
0.05,0.735762962962963,0.009364889864296375,24,0.015670058158576767,0.005031893108518563,0.002250331009232047,5
0.05,0.735762962962963,0.009364889864296375,25,0.016669240752853268,0.005017215426714971,0.0022437669503790583,5
0.05,0.735762962962963,0.009364889864296375,26,0.018893241816640406,0.003005895484538611,0.0013442773273376,5
0.05,0.735762962962963,0.009364889864296375,27,0.02029502655873035,0.005519700312873156,0.002468485023002246,5
0.05,0.735762962962963,0.009364889864296375,28,0.02390206300399844,0.005425115958981432,0.002426185614020288,5
0.05,0.735762962962963,0.009364889864296375,29,0.026726477119818376,0.006698643283353825,0.002995724347720308,5
