k,P_k,P_k_error
0,0.0038199442916294008,0.00033134306541194095
1,0.013267642457350135,0.0009440819156264139
2,0.020099918538737372,0.0011148100380757725
3,0.020351784935984933,0.0007650652762938025
4,0.0181849382439686,0.0010281329653043418
5,0.013368221037655646,0.0007848476248082337
6,0.009097080290858362,0.0006337037987623522
7,0.006078382079076718,0.0006531792621992443
8,0.004420030284957835,0.000526982827365247
9,0.003769033395792433,0.0004824686823799641
10,0.004070243395203467,0.0004757008032749803
11,0.003016168872642488,0.0004064839247755985
12,0.0035667614254771595,0.0003886045673434154
13,0.0034669741359003464,0.0004753681813806329
14,0.0036198344610672366,0.0005473513972288571
15,0.0034677311235476274,0.00031345382632992657
16,0.004068175388137713,0.0005004720285771093
17,0.003970043628303174,0.0005756383302750029
18,0.003918932177611374,0.0005398684747692457
19,0.005023461075011184,0.0006039027924218157
20,0.005777839765701637,0.0005436997448860154
21,0.006433789708692577,0.0005179420335149949
22,0.0073338418559165995,0.0007692446901306913
23,0.010153492037089974,0.0006494802763640976
24,0.011708825209985074,0.0011316386887179014
25,0.014670004991842938,0.0013208310397500725
26,0.01522901622840428,0.001397781777048239
27,0.01859443999046923,0.0012147340070872037
28,0.021454764091968424,0.0017797195172046681
29,0.02522858081773311,0.0017529058832676185
30,0.03055325737614979,0.0020772303383340463
31,0.03086136165262527,0.0017423136535157128
32,0.032015524986957485,0.0017850893474587234
33,0.03411692525453601,0.0019860323574326607
34,0.03105640670761628,0.0019082631732479814
35,0.03256906956883156,0.002526551780278239
36,0.032263505877507356,0.001810733006723378
37,0.032375529567466116,0.0019807257815564485
38,0.030858062746407768,0.0015767930505041583
39,0.026534522818159056,0.0012960659372072577
40,0.026992565728362533,0.001921302563609769
41,0.022918598845819208,0.0011987450645150669
42,0.022820049531579675,0.0011569413433916169
43,0.01960186925361907,0.001349345120624894
44,0.019555867879698437,0.0015969737225951799
45,0.017042116771072105,0.0012819581809260549
46,0.016291783557287297,0.00189361047047041
